Country,Page,Range,Type,Provider
NO,100,4771491XXX,geographic,Ventelo Norge AS 
NO,101,477153XXXX,geographic,Telenor Telecom Solutions AS
NO,100,4771492XXX,geographic,Ventelo Norge AS 
NO,100,4771495XXX,geographic,TDC Song AS
NO,101,477154XXXX,geographic,Telenor Telecom Solutions AS
NO,100,4771496XXX,geographic,TDC Song AS
NO,101,477155XXXX,geographic,Telenor Telecom Solutions AS
NO,103,477301XXXX,geographic,NextGenTel AS
NO,102,477167XXXX,geographic,Telenor Telecom Solutions AS
NO,101,477156XXXX,geographic,Telenor Telecom Solutions AS
NO,108,477470XXXX,geographic,TDC Song AS
NO,103,4773094XXX,geographic,CBK Tele AS
NO,103,4773095XXX,geographic,CBK Tele AS
NO,108,4774732XXX,geographic,TDC Song AS
NO,100,4771497XXX,geographic,Comvie AS
NO,101,477157XXXX,geographic,Telenor Telecom Solutions AS
NO,109,477479XXXX,geographic,Hafslund Telekom AS
NO,102,477168XXXX,geographic,Telenor Telecom Solutions AS
NO,101,477158XXXX,geographic,Telenor Telecom Solutions AS
NO,104,477319XXXX,geographic,Ventelo Norge AS 
NO,103,4773099XXX,geographic,Get AS
NO,108,4774733XXX,geographic,TDC Song AS
NO,113,4775987XXX,geographic,Comvie AS
NO,109,47748XXXXX,geographic,Telenor Telecom Solutions AS
NO,101,4771639XXX,geographic,Network Norway AS
NO,103,477310XXXX,geographic,TDC Song AS 
NO,108,4774783XXX,geographic,CBK Tele AS
NO,113,4775988XXX,geographic,Comvie AS
NO,102,477169XXXX,geographic,Telenor Telecom Solutions AS
NO,104,477320XXXX,geographic,TDC Song AS
NO,109,477490XXXX,geographic,TDC Song AS
NO,111,477540XXXX,geographic,TDC Song AS
NO,100,4771498XXX,geographic,Comvie AS
NO,108,4774784XXX,geographic,NextGenTel AS
NO,101,477164XXXX,geographic,Telenor Telecom Solutions AS
NO,109,477491XXXX,geographic,TDC Song AS
NO,104,477339XXXX,geographic,Consorte Tele AS
NO,102,477170XXXX,geographic,Telio Telecom AS
NO,113,4775989XXX,geographic,Phonzo AS
NO,103,4773185XXX,geographic,Network Norway AS
NO,111,477541XXXX,geographic,TDC Song AS
NO,101,477165XXXX,geographic,Telenor Telecom Solutions AS
NO,100,4771499XXX,geographic,Phonzo AS
NO,109,4774990XXX,geographic,Ventelo Norge AS 
NO,102,4772XXXXXX,geographic,
NO,103,4773186XXX,geographic,Network Norway AS
NO,108,4774785XXX,geographic,NextGenTel AS
NO,104,477340XXXX,geographic,TDC Song AS
NO,100,477150XXXX,geographic,Telenor Telecom Solutions AS
NO,102,4772474XXX,geographic,Telenor Telecom Solutions AS
NO,104,477341XXXX,geographic,TDC Song AS
NO,107,4774401XXX,geographic,Ventelo Norge AS
NO,109,4774991XXX,geographic,Ventelo Norge AS 
NO,111,477542XXXX,geographic,TDC Song AS
NO,110,4774998XXX,geographic,Comvie AS
NO,100,477151XXXX,geographic,Telenor Telecom Solutions AS
NO,10,472350XXXX,geographic,Equant Norway AS
NO,108,4774786XXX,geographic,NextGenTel AS
NO,102,477260XXXX,geographic,Telio Telecom AS
NO,103,4773187XXX,geographic,Network Norway AS
NO,101,477166XXXX,geographic,Telenor Telecom Solutions AS
NO,107,4774402XXX,geographic,Ventelo Norge AS
NO,105,4773492XXX,geographic,Ventelo Norge AS 
NO,106,477379XXXX,geographic,Hafslund Telekom AS
NO,113,477599XXXX,geographic,Hafslund Telekom AS
NO,100,477152XXXX,geographic,Telenor Telecom Solutions AS
NO,110,4774999XXX,geographic,Phonzo AS
NO,109,4774992XXX,geographic,Ventelo Norge AS 
NO,105,4773493XXX,geographic,Phonzo AS
NO,108,4774787XXX,geographic,Combitel Networks AS
NO,110,4775XXXXXX,geographic,
NO,113,4776XXXXXX,geographic,
NO,106,47738XXXXX,geographic,Telenor Telecom Solutions AS
NO,115,477719XXXX,geographic,Telenor Telecom Solutions AS
NO,109,4774995XXX,geographic,TDC Song AS
NO,111,4775430XXX,geographic,Ventelo Norge AS 
NO,103,4773188XXX,geographic,Network Norway AS
NO,108,4774788XXX,geographic,NTE Bredb̴nd AS
NO,10,4723620XXX,geographic,Ventelo Norge AS
NO,104,477342XXXX,geographic,TDC Song AS
